Time,Load Cell,Moving Forward
2868057.0,-0.00086224,0.0
2868135.0,-0.02915378,0.0
2868213.0,0.00695992,0.0
2868291.0,0.01015983,0.0
2868369.0,0.00177906,0.0
2868448.0,-0.00558593,0.0
2868526.0,0.01061692,0.0
2868604.0,-0.000405,0.0
2868682.0,0.00381069,0.0
2868760.0,-0.00253838,0.0
2868838.0,0.00680748,0.0
2868916.0,-0.00065904,0.0
2868994.0,0.0143756,0.0
2869072.0,-0.00462084,0.0
2869151.0,-0.00954773,0.0
2869229.0,0.02062307,0.0
2869307.0,-0.04256304,0.0
2869385.0,0.00157586,0.0
2869463.0,0.0146804,0.0
2869541.0,-0.02884898,0.0
2869619.0,-0.00421459,0.0
2869697.0,0.01788032,0.0
2869776.0,-0.01015734,0.0
2869854.0,0.0100074,0.0
2869932.0,-0.02925538,0.0
2870010.0,0.00091558,0.0
2870088.0,0.00076314,0.0
2870166.0,-0.01503347,0.0
2870244.0,-0.00543364,0.0
2870322.0,0.00949955,0.0
2870400.0,0.00279484,0.0
2870479.0,0.00274408,0.0
2870557.0,0.00965183,0.0
2870635.0,0.01549305,0.0
2870713.0,0.00772181,0.0
2870791.0,-0.00695742,0.0
2870869.0,0.01681363,0.0
2870947.0,-0.0010146,0.0
2871025.0,0.00675664,0.0
2871104.0,-0.00360499,0.0
2871182.0,-0.02092537,0.0
2871260.0,0.00096634,0.0
2871338.0,-0.02270319,0.0
2871416.0,0.00629956,0.0
2871494.0,-0.00888745,0.0
2871572.0,-0.00248762,0.0
2871650.0,0.01960737,0.0
2871728.0,0.0108202,0.0
2871806.0,0.01010907,0.0
2871885.0,-0.00406215,0.0
2871963.0,0.00741693,0.0
2872041.0,-0.01279849,0.0
2872119.0,0.00472494,0.0
2872197.0,0.00533447,0.0
2872275.0,-0.0101065,0.0
2872353.0,0.00899155,0.0
2872431.0,-0.01086831,0.0
2872509.0,0.00406465,0.0
2872588.0,-0.00116704,0.0
2872666.0,-0.0027415,0.0
2872744.0,-0.01452546,0.0
2872822.0,0.02311201,0.0
2872900.0,-0.00152253,0.0
2872978.0,-0.00523044,0.0
2873056.0,-0.03550292,0.0
2873135.0,-0.00142093,0.0
2873213.0,0.01122645,0.0
2873291.0,-0.01376358,0.0
2873369.0,0.00873758,0.0
2873447.0,0.00264255,0.0
2873525.0,0.0047757,0.0
2873603.0,0.00716304,0.0
2873681.0,-0.00228434,0.0
2873759.0,0.00228691,0.0
2873837.0,-0.00477328,0.0
2873916.0,-0.00629706,0.0
2873994.0,0.00873758,0.0
2874072.0,0.00883926,0.0
2874150.0,-0.00142093,0.0
2874228.0,-0.01229056,0.0
2874306.0,-0.00279234,0.0
2874384.0,-0.00035431,0.0
2874462.0,-0.02239846,0.0
2874541.0,-0.000405,0.0
2874619.0,0.00233783,0.0
2874697.0,-0.00909065,0.0
2874775.0,0.02844515,0.0
2874853.0,0.00086474,0.0
2874931.0,0.01432484,0.0
2875009.0,-0.00396055,0.0
2875087.0,-0.00553517,0.0
2875165.0,-0.00050675,0.0
2875243.0,0.00889002,0.0
2875322.0,-0.00086224,0.0
2875400.0,-0.00421459,0.0
2875478.0,0.01803268,0.0
2875556.0,0.00589316,0.0
2875634.0,0.00111878,0.0
2875712.0,0.00584247,0.0
2875790.0,-0.00716047,0.0
2875868.0,-0.00995413,0.0
2875947.0,-0.00457015,0.0
2876025.0,-0.00650018,0.0
2876103.0,-0.01284933,0.0
2876181.0,-0.00060828,0.0
2876259.0,-0.03281086,0.0
2876337.0,-0.00959857,0.0
2876415.0,-0.00258922,0.0
2876493.0,0.00010285,0.0
2876572.0,-0.01528735,0.0
2876650.0,-0.00218281,0.0
2876728.0,0.00726464,0.0
2876806.0,0.01452804,0.0
2876884.0,-0.0147795,0.0
2876962.0,0.0030488,0.0
